"diocese","rite","lat","long","event","date"
"Altoona-Johnstown, Pennsylvania","Latin",40.3557,-78.5163,"erected","1901-05-30"
"Sioux City, Iowa","Latin",42.5,-96.4003,"erected","1902-01-15"
"Rapid City, South Dakota","Latin",44.0805,-103.231,"erected","1902-08-04"
"Baker, Oregon","Latin",44.7749,-117.834,"erected","1903-06-19"
"Fall River, Massachusetts","Latin",41.7015,-71.155,"erected","1904-03-12"
"Great Falls-Billings, Montana","Latin",46.6291,-109.766,"erected","1904-05-18"
"Superior, Wisconsin","Latin",46.7208,-92.1041,"erected","1905-05-03"
"Oklahoma City, Oklahoma","Latin",35.4676,-97.5164,"erected","1905-08-23"
"Tulsa, Oklahoma","Latin",36.154,-95.9928,"erected","1972-12-13"
"Rockford, Illinois","Latin",42.2711,-89.094,"erected","1908-09-27"
"Bismarck, North Dakota","Latin",46.8083,-100.784,"erected","1909-12-31"
"Crookston, Minnesota","Latin",47.7746,-96.6094,"erected","1909-12-31"
"Toledo, Ohio","Latin",41.6639,-83.5552,"erected","1910-04-15"
"Des Moines, Iowa","Latin",41.6005,-93.6091,"erected","1911-08-12"
"Grand Island, Nebraska","Latin",40.9264,-98.342,"erected","1912-03-08"
"Corpus Christi, Texas","Latin",27.8006,-97.3964,"erected","1912-03-23"
"Spokane, Washington","Latin",47.6588,-117.426,"erected","1913-12-17"
"El Paso, Texas","Latin",31.7587,-106.487,"erected","1914-03-03"
"Lafayette, Louisiana","Latin",30.2241,-92.0198,"erected","1918-01-11"
"Monterey, California","Latin",36.6002,-121.895,"erected","1840-04-27"
"Fresno, California","Latin",36.7468,-119.773,"erected","1967-10-06"
"Raleigh, North Carolina","Latin",35.7796,-78.6382,"erected","1924-12-12"
"Amarillo, Texas","Latin",35.222,-101.831,"erected","1926-08-03"
"Reno, Nevada","Latin",39.5296,-119.814,"erected","1931-03-27"
"San Diego, California","Latin",32.7153,-117.157,"erected","1936-07-01"
"Lansing, Michigan","Latin",42.7325,-84.5555,"erected","1937-05-22"
"Camden, New Jersey","Latin",39.9259,-75.1196,"erected","1937-12-09"
"Owensboro, Kentucky","Latin",37.7719,-87.1112,"erected","1937-12-09"
"Paterson, New Jersey","Latin",40.9168,-74.1718,"erected","1937-12-09"
"Saginaw, Michigan","Latin",43.4195,-83.9508,"erected","1938-02-26"
"Washington, District of Columbia","Latin",38.9072,-77.0365,"erected","1939-07-22"
"Gallup, New Mexico","Latin",35.5281,-108.743,"erected","1939-12-16"
"Honolulu, Hawaii","Latin",21.3069,-157.858,"erected","1941-09-10"
"Pueblo, Colorado","Latin",38.2544,-104.609,"erected","1941-11-15"
"Youngstown, Ohio","Latin",41.0998,-80.6495,"erected","1943-05-15"
"Evansville, Indiana","Latin",37.9716,-87.5711,"erected","1944-10-21"
"Lafayette, Indiana","Latin",40.4167,-86.8753,"erected","1944-10-21"
"Steubenville, Ohio","Latin",40.3698,-80.634,"erected","1944-10-21"
"Madison, Wisconsin","Latin",43.0731,-89.4012,"erected","1946-03-12"
"Austin, Texas","Latin",30.2672,-97.7431,"erected","1947-11-15"
"Joliet, Illinois","Latin",41.525,-88.0817,"erected","1948-12-11"
"Worcester, Massachusetts","Latin",42.2626,-71.8023,"erected","1950-01-14"
"Greensburg, Pennsylvania","Latin",40.3015,-79.5389,"erected","1951-03-10"
"Dodge City, Kansas","Latin",37.7528,-100.017,"erected","1951-03-19"
"Juneau, Alaska","Latin",58.3019,-134.42,"erected","1951-06-23"
"Yakima, Washington","Latin",46.6021,-120.506,"erected","1951-06-23"
"Bridgeport, Connecticut","Latin",41.1865,-73.1952,"erected","1953-08-06"
"Norwich, Connecticut","Latin",41.5243,-72.0759,"erected","1953-08-06"
"Atlanta, Georgia","Latin",33.749,-84.388,"erected","1956-07-02"
"Jefferson City, Missouri","Latin",38.5767,-92.1735,"erected","1956-07-02"
"Springfield-Cape Girardeau, Missouri","Latin",37.3059,-89.5181,"erected","1956-07-02"
"Gary, Indiana","Latin",41.5934,-87.3464,"erected","1957-02-25"
"Rockville Centre, New York","Latin",40.6587,-73.6412,"erected","1957-04-06"
"New Ulm, Minnesota","Latin",44.3144,-94.4593,"erected","1958-01-03"
"Miami, Florida","Latin",25.789,-80.2264,"erected","1958-08-13"
"Allentown, Pennsylvania","Latin",40.6084,-75.4902,"erected","1961-01-28"
"Baton Rouge, Louisiana","Latin",30.4583,-91.1403,"erected","1961-07-20"
"San Angelo, Texas","Latin",31.4638,-100.437,"erected","1961-10-16"
"Oakland, California","Latin",37.8044,-122.271,"erected","1962-02-21"
"Santa Rosa, California","Latin",38.4405,-122.714,"erected","1962-02-21"
"Stockton, California","Latin",37.9577,-121.291,"erected","1962-02-21"
"Fairbanks, Alaska","Latin",64.8378,-147.716,"erected","1962-08-08"
"Philadelphia, Pennsylvania","Byzantine",39.9523,-75.1638,"erected","1924-05-08"
"Stamford, Connecticut","Byzantine",41.0534,-73.5387,"erected","1958-07-10"
"Chicago, Illinois","Byzantine",41.8781,-87.6298,"erected","1961-08-14"
"Pittsburgh, Pennsylvania","Byzantine",40.4406,-79.9959,"erected","1963-07-06"
"Passaic, New Jersey","Byzantine",40.8568,-74.1285,"erected","1963-07-06"
"San Juan, Puerto Rico","Latin",18.4663,-66.1057,"erected","1511-08-11"
"Ponce, Puerto Rico","Latin",18.0111,-66.6141,"erected","1924-11-21"
"Arecibo, Puerto Rico","Latin",18.4724,-66.7157,"erected","1960-07-30"
"Anchorage, Alaska","Latin",61.2181,-149.9,"erected","1966-01-22"
"Arlington, Virginia","Latin",38.88,-77.1068,"erected","1974-05-28"
"Beaumont, Texas","Latin",30.0802,-94.1266,"erected","1966-06-25"
"Biloxi, Mississippi","Latin",30.396,-88.8853,"erected","1977-03-01"
"Brownsville, Texas","Latin",25.9017,-97.4975,"erected","1965-07-10"
"Charlotte, North Carolina","Latin",35.2271,-80.8431,"erected","1971-11-12"
"Cheyenne, Wyoming","Latin",41.14,-104.82,"erected","1887-08-02"
"Colorado Springs, Colorado","Latin",38.8339,-104.821,"erected","2083-10-19"
"Gaylord, Michigan","Latin",45.0275,-84.6748,"erected","1970-12-19"
"Phoenix, Arizona","Byzantine",33.4484,-112.074,"erected","1981-12-03"
"Houma-Thibodaux, Louisiana","Latin",29.5889,-90.7188,"erected","1977-03-02"
"Kalamazoo, Michigan","Latin",42.2917,-85.5872,"erected","1970-12-19"
"Knoxville, Tennessee","Latin",35.9606,-83.9207,"erected","1988-05-27"
"Lake Charles, Louisiana","Latin",30.2266,-93.2174,"erected","1980-01-29"
"Laredo, Texas","Latin",27.5064,-99.5075,"erected","2000-07-03"
"Las Cruces","Latin",32.3199,-106.764,"erected","1982-08-17"
"Las Vegas, Nevada","Latin",36.1146,-115.173,"erected","1995-03-21"
"Lexington, Kentucky","Latin",38.0406,-84.5037,"erected","1988-01-14"
"Lubbock, Texas","Latin",33.5779,-101.855,"erected","1983-03-25"
"Memphis, Tennessee","Latin",35.1495,-90.049,"erected","1970-06-20"
"Metuchen, New Jersey","Latin",40.5432,-74.3632,"erected","1981-11-19"
"Newton, Massachusetts","Byzantine",42.337,-71.2092,"erected","1976-06-28"
"Orange, California","Latin",33.7878,-117.853,"erected","1976-03-24"
"Newark, New Jersey","Antiochian",40.7357,-74.1724,"erected","1995-11-06"
"Los Angeles","Antiochian",34.0522,-118.244,"erected","1994-02-19"
"New York, New York","Armenian",40.7144,-74.006,"erected","2005-09-12"
"Palm Beach, Florida","Latin",26.7056,-80.0364,"erected","1984-06-16"
"Parma, Ohio","Byzantine",41.4048,-81.7229,"erected","1969-02-21"
"Pensacola, Tallahassee","Latin",30.4388,-84.2783,"erected","1975-10-01"
"Phoenix, Arizona","Latin",33.4484,-112.074,"erected","1969-06-28"
"Canton, Ohio","Byzantine",40.7989,-81.3784,"erected","1987-03-26"
"Parma, Ohio","Byzantine",41.4048,-81.7229,"erected","1983-12-05"
"Brooklyn, New York","Antiochian",40.65,-73.95,"erected","1966-01-10"
"St. Petersburg, Florida","Latin",27.7731,-82.64,"erected","1968-03-02"
"San Diego, California","Chaldean",32.7153,-117.157,"erected","2002-05-21"
"Virgin Islands","Latin",18.3358,-64.8963,"erected","1977-04-20"
"Chicago, Illinois","Chaldean",41.8781,-87.6298,"erected","2001-03-13"
"Detroit, Michigan","Chaldean",42.3314,-83.0458,"erected","1985-08-03"
"San Bernardino, California","Latin",34.1083,-117.29,"erected","1978-07-14"
"San Jose, California","Latin",37.3394,-121.895,"erected","1981-01-27"
"Shreveport, Louisiana","Latin",32.5252,-93.7502,"erected","1986-06-16"
"Tyler, Texas","Latin",32.3513,-95.3011,"erected","1986-12-12"
"Venice, Florida","Latin",27.0998,-82.4543,"erected","1984-06-16"
"Victoria, Texas","Latin",28.8053,-97.0036,"erected","1982-04-13"
"Alexandria-Cornwall, Ontario","Latin",45.0187,-74.7123,"erected","1890-01-21"
"Amos, Quebec","Latin",48.565,-78.1125,"erected","1938-12-03"
"Antigonish, Nova Scotia","Latin",45.6227,-61.9928,"erected","1886-08-23"
"Baie-Comeau, Quebec","Latin",49.2213,-68.1504,"erected","1986-07-14"
"Bathurst, New Brunswick","Latin",47.6184,-65.6513,"erected","1860-05-08"
"Calgary, Alberta","Latin",51.0453,-114.058,"erected","1912-11-30"
"Charlottetown, Prince Edward Island","",46.2382,-63.1311,"erected","1829-08-11"
"Chicoutimi, Quebec","Latin",48.4222,-71.0619,"erected","1878-05-28"
"Churchill-Baie d'Hudson, Manitoba","Latin",53.7609,-98.8139,"erected","1968-01-29"
"Corner Brook and Labrador, Newfoundland","Latin",48.9432,-57.9394,"erected","1904-02-18"
"Edmonton, Alberta","Latin",53.5444,-113.491,"erected","1871-09-22"
"Edmonton, Alberta","Byzantine",53.5444,-113.491,"erected","1948-01-19"
"Edmundston, New Brunswick","Latin",47.369,-68.3267,"erected","1944-12-16"
"Gaspe, Quebec","Latin",48.8316,-64.4869,"erected","1922-05-05"
"Gatineau, Quebec","Latin",45.4765,-75.7013,"erected","1963-04-27"
"Grand Falls, Newfoundland","Latin",48.929,-55.6505,"erected","1856-02-29"
