"diocese","rite","lat","long","event","date"
"Tuxtla Gutierrez, Chiapas","Latin",16.7604,-93.1271,"erected","1964-10-27"
"Valle de Chalco, Mexico","Latin",19.4326,-99.1332,"erected","2003-07-08"
"Veracruz, Veracruz","Latin",19.1738,-96.1342,"erected","1962-06-09"
"Yucatan, Yucatan","Latin",20.7099,-89.0943,"erected","1561-11-19"
"Zacatecas, Zacatecas","Latin",22.7709,-102.583,"erected","1863-01-26"
"Zamora, Michoacan","Latin",20,-102.283,"erected","1863-01-26"
"Baltimore, Maryland","Latin",39.2904,-76.6122,"metropolitan","1808-04-08"
"New Orleans, Louisiana","Latin",29.9511,-90.0715,"metropolitan","1850-07-19"
"Boston, Massachusetts","Latin",42.3584,-71.0598,"metropolitan","1875-02-12"
"Louisville, Kentucky","Latin",38.2527,-85.7585,"metropolitan","1937-12-10"
"New York, New York","Latin",40.7144,-74.006,"metropolitan","1850-07-19"
"Philadelphia, Pennsylvania","Latin",39.9523,-75.1638,"metropolitan","1875-02-12"
"Cincinnati, Ohio","Latin",39.1031,-84.512,"metropolitan","1850-07-19"
"St. Louis, Missouri","Latin",38.627,-90.1994,"metropolitan","1847-07-20"
"Mobile, Alabama","Latin",30.6944,-88.0431,"metropolitan","1980-07-29"
"Detroit, Michigan","Latin",42.3314,-83.0458,"metropolitan","1937-05-22"
"Indianapolis, Indiana","Latin",39.7684,-86.1581,"metropolitan","1944-10-21"
"Dubuque, Iowa","Latin",42.5006,-90.6646,"metropolitan","1893-06-15"
"Los Angeles, California","Latin",34.0522,-118.244,"metropolitan","1936-07-11"
"Hartford, Connecticut","Latin",41.7637,-72.6851,"metropolitan","1953-08-06"
"Chicago, Illinois","Latin",41.8781,-87.6298,"metropolitan","1880-09-10"
"Milwaukee, Wisconsin","Latin",43.0389,-87.9065,"metropolitan","1875-02-12"
"Portland, Oregon","Latin",45.5235,-122.676,"metropolitan","1850-07-19"
"Galveston-Houston, Texas","Latin",29.7602,-95.3694,"metropolitan","2004-12-29"
"Seattle, Washington","Latin",47.6062,-122.332,"metropolitan","1951-06-23"
"St. Paul-Minneapolis, Minnesota","Latin",44.9375,-93.201,"metropolitan","1888-05-04"
"Newark, New Jersey","Latin",40.7357,-74.1724,"metropolitan","1917-12-10"
"San Francisco, California","Latin",37.7749,-122.419,"metropolitan","1853-07-29"
"Santa Fe, New Mexico","Latin",35.687,-105.938,"metropolitan","1875-02-12"
"San Antonio, Texas","Latin",29.4241,-98.4936,"metropolitan","1926-08-03"
"Kansas City, Kansas","Latin",39.1141,-94.6275,"metropolitan","1952-08-09"
"Omaha, Nebraska","Latin",41.2524,-95.998,"metropolitan","1945-08-07"
"Denver, Colorado","Latin",39.7376,-104.985,"metropolitan","1941-11-15"
"Oklahoma City, Oklahoma","Latin",35.4676,-97.5164,"metropolitan","1972-12-13"
"Washington, District of Columbia","Latin",38.9072,-77.0365,"metropolitan","1939-07-22"
"Atlanta, Georgia","Latin",33.749,-84.388,"metropolitan","1962-02-21"
"Miami, Florida","Latin",25.789,-80.2264,"metropolitan","1958-05-25"
"Philadelphia, Pennsylvania","Byzantine",39.9523,-75.1638,"metropolitan","1958-07-10"
"Pittsburgh, Pennsylvania","Byzantine",40.4406,-79.9959,"metropolitan","1969-02-21"
"San Juan, Puerto Rico","Latin",18.4663,-66.1057,"metropolitan","1960-04-30"
"Anchorage, Alaska","Latin",61.2181,-149.9,"metropolitan","1966-01-22"
"Edmonton, Alberta","Latin",53.5444,-113.491,"metropolitan","1912-11-30"
"Gatineau, Quebec","Latin",45.4765,-75.7013,"metropolitan","1990-10-31"
"Grouard-McLennan, Alberta","Latin",55.7109,-116.907,"metropolitan","1967-07-13"
"Halifax-Yarmouth, Nova Scotia","Latin",44.0472,-64.7224,"metropolitan","1852-05-04"
"Kingston, Ontario","Latin",44.2312,-76.486,"metropolitan","1889-12-28"
"Moncton, New Brunswick","Latin",46.0878,-64.7782,"metropolitan","1936-02-22"
"Montreal, Quebec","Latin",45.5087,-73.554,"metropolitan","1886-06-08"
"Ottawa, Ontario","Latin",45.4215,-75.6972,"metropolitan","1886-06-08"
"Quebec, Quebec","Latin",46.8033,-71.2428,"metropolitan","1819-01-12"
"Regina, Saskatchewan","Latin",50.4547,-104.607,"metropolitan","1915-12-04"
"Rimouski, Quebec","Latin",48.4333,-68.5167,"metropolitan","1846-02-09"
"Saint John's, Newfoundland","Latin",47.5605,-52.7128,"metropolitan","1904-02-08"
"Sherbrooke, Quebec","Latin",45.401,-71.8824,"metropolitan","1951-03-02"
"Toronto, Ontario","Latin",43.6532,-79.3832,"metropolitan","1870-03-18"
"Vancouver, British Columbia","Latin",49.2612,-123.114,"metropolitan","1908-09-19"
"Victoria, British Columbia","Latin",48.4284,-123.366,"metropolitan","1903-06-19"
"Winnipeg, Manitoba","Latin",49.8998,-97.1375,"metropolitan","1915-12-04"
"Acapulco, Guerrero","Latin",16.8638,-99.8816,"metropolitan","1983-02-10"
"Antequera, Oaxaca","Latin",17.0692,-96.7158,"metropolitan","1891-06-23"
"Chihuahua, Chihuahua","Latin",28.6306,-106.074,"metropolitan","1958-11-22"
"Durango, Durango","Latin",24.0277,-104.653,"metropolitan","1891-06-23"
"Guadalajara, Jalisco","Latin",20.6736,-103.344,"metropolitan","1863-01-26"
"Hermosillo, Sonora","Latin",29.0737,-110.963,"metropolitan","1963-07-13"
"Jalapa, Veracruz","Latin",19.5438,-96.9102,"metropolitan","1951-06-29"
"Leon, Guanajuato","Latin",21.135,-101.661,"metropolitan","2006-11-25"
"Mexico, Federal District","Latin",19.2465,-99.1013,"metropolitan","1546-02-12"
"Monterrey, Nuevo Leon","Latin",25.6732,-100.309,"metropolitan","1891-06-23"
"Morelia, Michoacan","Latin",19.706,-101.195,"metropolitan","1863-01-26"
"Puebla de los Angeles, Puebla","Latin",19.0413,-98.2062,"metropolitan","1903-08-11"
"San Luis Potosi, San Luis Potosi","Latin",22.1565,-100.986,"metropolitan","1988-11-05"
"Tijuana, Baja California Norte","Latin",32.5149,-117.038,"metropolitan","2006-11-25"
"Tlalnepantla, Mexico","Latin",19.5345,-99.1907,"metropolitan","1989-06-17"
"Tulancingo, Hidalgo","Latin",20.0844,-98.368,"metropolitan","2006-11-25"
"Tuxtla Gutierrez, Chiapas","Latin",16.7604,-93.1271,"metropolitan","2006-11-25"
"Yucatan, Yucatan","Latin",20.7099,-89.0943,"metropolitan","1906-11-11"
