"﻿id","name","gender","dates","yearOfBirth","yearOfDeath","placeOfBirth","placeOfDeath","url","lon","lat","born.lon","born.lat","died.lon","died.lat","address"
3192,"Leonilson (José Leonilson Bezerra Dias)","Male","1957–1993",1957,1993,"Fortaleza, Brasil","São Paulo, Brasil","http://www.tate.org.uk/art/artists/leonilson-jose-leonilson-bezerra-dias-3192",-38.5267,-3.73186,-38.5267,-3.73186,-46.6333,-23.5505,"são paulo - state of são paulo, brazil"
1496,"Leslie, Alexander J.","Male","1873–1930",1873,1930,"London, United Kingdom","Lynton, United Kingdom","http://www.tate.org.uk/art/artists/alexander-j-leslie-1496",-0.127758,51.5074,-0.127758,51.5074,-3.8401,51.2297,"lynton, devon ex35, uk"
346,"Leslie, Charles Robert","Male","1794–1859",1794,1859,"London, United Kingdom","","http://www.tate.org.uk/art/artists/charles-robert-leslie-346",-0.127758,51.5074,-0.127758,51.5074,NA,NA,NA
347,"Leslie, George Dunlop","Male","1835–1921",1835,1921,"London, United Kingdom","","http://www.tate.org.uk/art/artists/george-dunlop-leslie-347",-0.127758,51.5074,-0.127758,51.5074,NA,NA,NA
1497,"Lessore, Helen","Female","1907–1994",1907,1994,"London, United Kingdom","","http://www.tate.org.uk/art/artists/helen-lessore-1497",-0.127758,51.5074,-0.127758,51.5074,NA,NA,NA
1498,"John","Male","born 1939",1939,NA,"London, United Kingdom","","http://www.tate.org.uk/art/artists/john-lessore-1498",-0.127758,51.5074,-0.127758,51.5074,NA,NA,NA
348,"Lethaby, William Richard","Male","1857–1931",1857,1931,"Barnstaple, United Kingdom","London, United Kingdom","http://www.tate.org.uk/art/artists/william-richard-lethaby-348",-4.05834,51.0782,-4.05834,51.0782,-0.127758,51.5074,"london, uk"
2278,"Lethbridge, Julian","Male","born 1947",1947,NA,"Colombo, Sri Lanka","","http://www.tate.org.uk/art/artists/julian-lethbridge-2278",79.8612,6.92708,79.8612,6.92708,NA,NA,NA
2297,"Lett-Haines, Arthur","Male","1894–1978",1894,1978,"","","http://www.tate.org.uk/art/artists/arthur-lett-haines-2297",NA,NA,NA,NA,NA,NA,NA
12048,"Leung, Yau","Male","1941–1997",1941,1997,"Victoria, Zhonghua","","http://www.tate.org.uk/art/artists/yau-leung-12048",113.286,23.0981,113.286,23.0981,NA,NA,NA
