"﻿id","name","gender","dates","yearOfBirth","yearOfDeath","placeOfBirth","placeOfDeath","url","lon","lat","born.lon","born.lat","died.lon","died.lat","address"
10093,"Abakanowicz, Magdalena","Female","born 1930",1930,NA,"Polska","","http://www.tate.org.uk/art/artists/magdalena-abakanowicz-10093",19.1451,51.9194,19.1451,51.9194,NA,NA,NA
0,"Abbey, Edwin Austin","Male","1852–1911",1852,1911,"Philadelphia, United States","London, United Kingdom","http://www.tate.org.uk/art/artists/edwin-austin-abbey-0",-75.1652,39.9526,-75.1652,39.9526,-0.127758,51.5074,"london, uk"
2756,"Abbott, Berenice","Female","1898–1991",1898,1991,"Springfield, United States","Monson, United States","http://www.tate.org.uk/art/artists/berenice-abbott-2756",-72.5898,42.1015,-72.5898,42.1015,-72.319,42.1042,"monson, ma, usa"
1,"Abbott, Lemuel Francis","Male","1760–1803",1760,1803,"Leicestershire, United Kingdom","London, United Kingdom","http://www.tate.org.uk/art/artists/lemuel-francis-abbott-1",-1.14059,52.7401,-1.14059,52.7401,-0.127758,51.5074,"london, uk"
622,"Abrahams, Ivor","Male","born 1935",1935,NA,"Wigan, United Kingdom","","http://www.tate.org.uk/art/artists/ivor-abrahams-622",-2.63251,53.5451,-2.63251,53.5451,NA,NA,NA
2606,"Absalon","Male","1964–1993",1964,1993,"Tel Aviv-Yafo, Yisra'el","Paris, France","http://www.tate.org.uk/art/artists/absalon-2606",34.7818,32.0853,34.7818,32.0853,2.35222,48.8566,"paris, france"
9550,"Abts, Tomma","Female","born 1967",1967,NA,"Kiel, Deutschland","","http://www.tate.org.uk/art/artists/tomma-abts-9550",10.1228,54.3233,10.1228,54.3233,NA,NA,NA
623,"Acconci, Vito","Male","born 1940",1940,NA,"New York, United States","","http://www.tate.org.uk/art/artists/vito-acconci-623",-74.0059,40.7128,-74.0059,40.7128,NA,NA,NA
624,"Ackling, Roger","Male","1947–2014",1947,2014,"Isleworth, United Kingdom","","http://www.tate.org.uk/art/artists/roger-ackling-624",-0.329003,51.4671,-0.329003,51.4671,NA,NA,NA
625,"Ackroyd, Norman","Male","born 1938",1938,NA,"Leeds, United Kingdom","","http://www.tate.org.uk/art/artists/norman-ackroyd-625",-1.54908,53.8008,-1.54908,53.8008,NA,NA,NA
2411,"Adam, Robert","Male","1728–1792",1728,1792,"Kirkcaldy, United Kingdom","London, United Kingdom","http://www.tate.org.uk/art/artists/robert-adam-2411",-3.15814,56.1168,-3.15814,56.1168,-0.127758,51.5074,"london, uk"
626,"Adams, Harry William","Male","1868–1947",1868,1947,"Worcester, United Kingdom","Worcester, United Kingdom","http://www.tate.org.uk/art/artists/harry-william-adams-626",-2.22158,52.1936,-2.22158,52.1936,-2.22158,52.1936,"worcester, worcester, uk"
627,"Adams, Norman","Male","1927–2005",1927,2005,"London, United Kingdom","","http://www.tate.org.uk/art/artists/norman-adams-627",-0.127758,51.5074,-0.127758,51.5074,NA,NA,NA
628,"Adams, Robert","Male","1917–1984",1917,1984,"Northampton, United Kingdom","","http://www.tate.org.uk/art/artists/robert-adams-628",-0.902656,52.2405,-0.902656,52.2405,NA,NA,NA
629,"Adeney, Bernard","Male","1878–1966",1878,1966,"London, United Kingdom","","http://www.tate.org.uk/art/artists/bernard-adeney-629",-0.127758,51.5074,-0.127758,51.5074,NA,NA,NA
630,"Adler, Jankel","Male","1895–1949",1895,1949,"Tuszyn, Polska","Aldbourne, United Kingdom","http://www.tate.org.uk/art/artists/jankel-adler-630",19.5349,51.6104,19.5349,51.6104,-1.62053,51.4792,"aldbourne, wiltshire, uk"
2608,"Adshead, Mary","Female","1904–1995",1904,1995,"London, United Kingdom","Hampstead, United Kingdom","http://www.tate.org.uk/art/artists/mary-adshead-2608",-0.127758,51.5074,-0.127758,51.5074,-0.176203,51.5557,"hampstead, london nw3, uk"
631,"Adzak, Roy","Male","1927–1987",1927,1987,"Reading, United Kingdom","Paris, France","http://www.tate.org.uk/art/artists/roy-adzak-631",-0.97813,51.4543,-0.97813,51.4543,2.35222,48.8566,"paris, france"
632,"Afro","Male","1912–1976",1912,1976,"Udine, Italia","Zürich, Schweiz","http://www.tate.org.uk/art/artists/afro-afro-basaldella-632",13.2346,46.0711,13.2346,46.0711,8.53918,47.3686,"zurich, switzerland"
633,"Agar, Eileen","Female","1899–1991",1899,1991,"Ayacucho, Argentina","London, United Kingdom","http://www.tate.org.uk/art/artists/eileen-agar-633",-58.483,-37.1503,-58.483,-37.1503,-0.127758,51.5074,"london, uk"
2,"Agasse, Jacques Laurent","Male","1767–1849",1767,1849,"Genève, Schweiz","London, United Kingdom","http://www.tate.org.uk/art/artists/jacques-laurent-agasse-2",6.1423,46.1984,6.1423,46.1984,-0.127758,51.5074,"london, uk"
3098,"Ahtila, Eija-Liisa","Female","born 1959",1959,NA,"Hämeenlinna, Suomi","","http://www.tate.org.uk/art/artists/eija-liisa-ahtila-3098",24.4673,60.9936,24.4673,60.9936,NA,NA,NA
8208,"Ai, Weiwei","Male","born 1957",1957,NA,"Beijing, Zhonghua","","http://www.tate.org.uk/art/artists/ai-weiwei-8208",116.88,40.1856,116.88,40.1856,NA,NA,NA
634,"Aitchison, Craigie","Male","1926–2009",1926,2009,"Edinburgh, United Kingdom","","http://www.tate.org.uk/art/artists/craigie-aitchison-634",-3.18827,55.9533,-3.18827,55.9533,NA,NA,NA
635,"Ajmone, Giuseppe","Male","1923–2005",1923,2005,"Carpignano Sesia, Italia","","http://www.tate.org.uk/art/artists/giuseppe-ajmone-635",8.41645,45.5329,8.41645,45.5329,NA,NA,NA
14744,"Aksel, Erdag","Male","born 1953",1953,NA,"Izmir, Türkiye","","http://www.tate.org.uk/art/artists/erdag-aksel-14744",27.1287,38.4188,27.1287,38.4188,NA,NA,NA
7794,"Al-Ani, Jananne","Female","born 1966",1966,NA,"Kirkuk, Al-‘Iraq","","http://www.tate.org.uk/art/artists/jananne-al-ani-7794",44.0919,35.848,44.0919,35.848,NA,NA,NA
3067,"Albers, Anni","Female","1899–1994",1899,1994,"Berlin, Deutschland","Orange, United States","http://www.tate.org.uk/art/artists/anni-albers-3067",13.405,52.52,13.405,52.52,-117.853,33.7878,"orange, ca, usa"
636,"Albers, Josef","Male","1888–1976",1888,1976,"Bottrop, Deutschland","New Haven, United States","http://www.tate.org.uk/art/artists/josef-albers-636",6.94469,51.5291,6.94469,51.5291,-72.9279,41.3083,"new haven, ct, usa"
637,"Albright, Ivan","Male","1897–1983",1897,1983,"Chicago, United States","Woodstock, United States","http://www.tate.org.uk/art/artists/ivan-albright-637",-87.6298,41.8781,-87.6298,41.8781,-84.5194,34.1015,"woodstock, ga, usa"
638,"Aldridge, John","Male","1905–1983",1905,1983,"Greenwich, United Kingdom","","http://www.tate.org.uk/art/artists/john-aldridge-638",-0.0076589,51.4826,-0.0076589,51.4826,NA,NA,NA
639,"Alechinsky, Pierre","Male","born 1927",1927,NA,"Bruxelles, België","","http://www.tate.org.uk/art/artists/pierre-alechinsky-639",4.35171,50.8503,4.35171,50.8503,NA,NA,NA
640,"Alexander, Edwin","Male","1870–1926",1870,1926,"Edinburgh, United Kingdom","Musselburgh, United Kingdom","http://www.tate.org.uk/art/artists/edwin-alexander-640",-3.18827,55.9533,-3.18827,55.9533,-3.05392,55.9419,"musselburgh, east lothian, uk"
2470,"Alexander, William","Male","1767–1816",1767,1816,"Maidstone, United Kingdom","Maidstone, United Kingdom","http://www.tate.org.uk/art/artists/william-alexander-2470",0.522699,51.2704,0.522699,51.2704,0.522699,51.2704,"maidstone, maidstone, kent, uk"
11315,"Alimpiev, Victor","Male","born 1973",1973,NA,"Moskva, Rossiya","","http://www.tate.org.uk/art/artists/victor-alimpiev-11315",37.6173,55.7558,37.6173,55.7558,NA,NA,NA
2472,"Alken Family","Male","1756 –1894",1756,1894,"","","http://www.tate.org.uk/art/artists/alken-family-2472",NA,NA,NA,NA,NA,NA,NA
3,"Alken, Henry Thomas","Male","1785–1851",1785,1851,"London, United Kingdom","London, United Kingdom","http://www.tate.org.uk/art/artists/henry-thomas-alken-3",-0.127758,51.5074,-0.127758,51.5074,-0.127758,51.5074,"london, uk"
2471,"Alken, Samuel, Senior","Male","1756–1815",1756,1815,"London, United Kingdom","London, United Kingdom","http://www.tate.org.uk/art/artists/samuel-alken-senior-2471",-0.127758,51.5074,-0.127758,51.5074,-0.127758,51.5074,"london, uk"
2473,"Allan, David","Male","1744–1796",1744,1796,"Alloa, United Kingdom","Edinburgh, United Kingdom","http://www.tate.org.uk/art/artists/david-allan-2473",-3.7919,56.1141,-3.7919,56.1141,-3.18827,55.9533,"edinburgh, city of edinburgh, uk"
641,"Allan, Julian Phelps","Female","1892–1996",1892,1996,"Southampton, United Kingdom","","http://www.tate.org.uk/art/artists/julian-phelps-allan-641",-1.40435,50.9097,-1.40435,50.9097,NA,NA,NA
4,"Allan, Sir William","Male","1782–1850",1782,1850,"Edinburgh, United Kingdom","Edinburgh, United Kingdom","http://www.tate.org.uk/art/artists/sir-william-allan-4",-3.18827,55.9533,-3.18827,55.9533,-3.18827,55.9533,"edinburgh, city of edinburgh, uk"
2304,"Allen, George Warner","Male","1916–1988",1916,1988,"Paris, France","Wallingford, United Kingdom","http://www.tate.org.uk/art/artists/george-warner-allen-2304",2.35222,48.8566,2.35222,48.8566,-1.13356,51.5974,"wallingford, wallingford, oxfordshire ox10, uk"
5,"Allen, Joseph William","Male","1803–1852",1803,1852,"Lambeth, United Kingdom","London, United Kingdom","http://www.tate.org.uk/art/artists/joseph-william-allen-5",-0.123068,51.4571,-0.123068,51.4571,-0.127758,51.5074,"london, uk"
12153,"Allen, Phillip","Male","born 1967",1967,NA,"London, United Kingdom","","http://www.tate.org.uk/art/artists/phillip-allen-12153",-0.127758,51.5074,-0.127758,51.5074,NA,NA,NA
12520,"Allen, Richard","Male","1933–1999",1933,1999,"Worcestershire, United Kingdom","","http://www.tate.org.uk/art/artists/richard-allen-12520",-2.26684,52.2545,-2.26684,52.2545,NA,NA,NA
642,"Alley, Anthea","Female","1927–1993",1927,1993,"Seremban, Malaysia","","http://www.tate.org.uk/art/artists/anthea-alley-642",101.938,2.72589,101.938,2.72589,NA,NA,NA
643,"Allington, Edward","Male","born 1951",1951,NA,"Cumbria, United Kingdom","","http://www.tate.org.uk/art/artists/edward-allington-643",-2.79748,54.5772,-2.79748,54.5772,NA,NA,NA
644,"Allinson, Adrian","Male","1890–1959",1890,1959,"London, United Kingdom","","http://www.tate.org.uk/art/artists/adrian-allinson-644",-0.127758,51.5074,-0.127758,51.5074,NA,NA,NA
2273,"Allom, Thomas","Male","1804–1872",1804,1872,"London, United Kingdom","Barnes, United Kingdom","http://www.tate.org.uk/art/artists/thomas-allom-2273",-0.127758,51.5074,-0.127758,51.5074,-1.40771,54.8976,"barnes, sunderland, sunderland, tyne and wear, uk"
6259,"Allora, Jennifer","Female","born 1974",1974,NA,"Philadelphia, United States","","http://www.tate.org.uk/art/artists/jennifer-allora-6259",-75.1652,39.9526,-75.1652,39.9526,NA,NA,NA
6,"Alma-Tadema, Sir Lawrence","Male","1836–1912",1836,1912,"Dronrijp, Nederland","Wiesbaden, Deutschland","http://www.tate.org.uk/art/artists/sir-lawrence-alma-tadema-6",5.64495,53.1966,5.64495,53.1966,8.23976,50.0782,"wiesbaden, germany"
12989,"Almeida, Helena","Female","born 1934",1934,NA,"Lisboa, Portugal","","http://www.tate.org.uk/art/artists/helena-almeida-12989",-9.13934,38.7223,-9.13934,38.7223,NA,NA,NA
2657,"Almond, Darren","Male","born 1971",1971,NA,"Wigan, United Kingdom","","http://www.tate.org.uk/art/artists/darren-almond-2657",-2.63251,53.5451,-2.63251,53.5451,NA,NA,NA
7620,"Althamer, Pawel","Male","born 1967",1967,NA,"Warszawa, Polska","","http://www.tate.org.uk/art/artists/pawel-althamer-7620",21.0122,52.2297,21.0122,52.2297,NA,NA,NA
645,"Altoon, John","Male","1925–1969",1925,1969,"Los Angeles, United States","Los Angeles","http://www.tate.org.uk/art/artists/john-altoon-645",-118.244,34.0522,-118.244,34.0522,-118.244,34.0522,"los angeles, ca, usa"
4427,"Alÿs, Francis","Male","born 1959",1959,NA,"Antwerpen, België","","http://www.tate.org.uk/art/artists/francis-alys-4427",4.40246,51.2194,4.40246,51.2194,NA,NA,NA
7,"Amiconi, Giacomo","Male","1682–1752",1682,1752,"Napoli, Italia","Madrid, España","http://www.tate.org.uk/art/artists/giacomo-amiconi-7",14.2681,40.8518,14.2681,40.8518,-3.70379,40.4168,"madrid, madrid, spain"
646,"Amiet, Cuno","Male","1868–1961",1868,1961,"Solothurn","Schweiz","http://www.tate.org.uk/art/artists/cuno-amiet-646",7.53795,47.2087,7.53795,47.2087,8.22751,46.8182,"switzerland"
7533,"Amorales, Carlos","Male","born 1970",1970,NA,"Ciudad de México, México","","http://www.tate.org.uk/art/artists/carlos-amorales-7533",-99.1332,19.4326,-99.1332,19.4326,NA,NA,NA
647,"Amuchastegui, Axel","Male","1921–2002",1921,2002,"Córdoba, España","","http://www.tate.org.uk/art/artists/axel-amuchastegui-647",-4.77938,37.8882,-4.77938,37.8882,NA,NA,NA
14647,"Amzalag, Michael","Male","born 1967",1967,NA,"Paris, France","","http://www.tate.org.uk/art/artists/michael-amzalag-14647",2.35222,48.8566,2.35222,48.8566,NA,NA,NA
12583,"Anderson, Hurvin","Male","born 1965",1965,NA,"Birmingham, United Kingdom","","http://www.tate.org.uk/art/artists/hurvin-anderson-12583",-1.8904,52.4862,-1.8904,52.4862,NA,NA,NA
8,"Anderton, Henry","Male","c.1630–1665",1630,1665,"","","http://www.tate.org.uk/art/artists/henry-anderton-8",NA,NA,NA,NA,NA,NA,NA
8961,"Andrade Tudela, Armando","Male","born 1975",1975,NA,"Lima, Perú","","http://www.tate.org.uk/art/artists/armando-andrade-tudela-8961",-77.0428,-12.0464,-77.0428,-12.0464,NA,NA,NA
15587,"Andrade, Jonathas de","Male","born 1982",1982,NA,"Maceió, Brasil","","http://www.tate.org.uk/art/artists/jonathas-de-andrade-15587",-35.7089,-9.64985,-35.7089,-9.64985,NA,NA,NA
648,"Andre, Carl","Male","born 1935",1935,NA,"Quincy, United States","","http://www.tate.org.uk/art/artists/carl-andre-648",-71.0023,42.2529,-71.0023,42.2529,NA,NA,NA
2704,"Andreenko, Michel","Male","1894 –1982",1894,1982,"Odessa, Ukrayina","Paris, France","http://www.tate.org.uk/art/artists/michel-andreenko-mikhail-fedorovich-andriicenko-nechytailo-2704",30.7233,46.4825,30.7233,46.4825,2.35222,48.8566,"paris, france"
649,"Andrews, Michael","Male","1928–1995",1928,1995,"Norwich, United Kingdom","London, United Kingdom","http://www.tate.org.uk/art/artists/michael-andrews-649",1.27843,52.6694,1.27843,52.6694,-0.127758,51.5074,"london, uk"
9,"Angellis, Peter","Male","1685–1734",1685,1734,"Dunkerque, France","Rennes, France","http://www.tate.org.uk/art/artists/peter-angellis-9",2.37678,51.0344,2.37678,51.0344,-1.67779,48.1173,"rennes, france"
650,"Annesley, David","Male","born 1936",1936,NA,"London, United Kingdom","","http://www.tate.org.uk/art/artists/david-annesley-650",-0.127758,51.5074,-0.127758,51.5074,NA,NA,NA
5221,"Anonymous","","",NA,NA,"","","http://www.tate.org.uk/art/artists/anonymous-5221",NA,NA,NA,NA,NA,NA,NA
651,"Anquetin, Louis","Male","1861–1932",1861,1932,"Eure, France","Paris, France","http://www.tate.org.uk/art/artists/louis-anquetin-651",0.958211,49.1182,0.958211,49.1182,2.35222,48.8566,"paris, france"
652,"Anrep, Boris","Male","1883–1969",1883,1969,"Sankt-Peterburg, Rossiya","","http://www.tate.org.uk/art/artists/boris-anrep-652",30.3351,59.9343,30.3351,59.9343,NA,NA,NA
13677,"Ansarinia, Nazgol","Female","born 1979",1979,NA,"Tehran, Îran","","http://www.tate.org.uk/art/artists/nazgol-ansarinia-13677",51.4231,35.6961,51.4231,35.6961,NA,NA,NA
10,"Ansdell, Richard","Male","1815–1885",1815,1885,"Liverpool, United Kingdom","London, United Kingdom","http://www.tate.org.uk/art/artists/richard-ansdell-10",-2.99157,53.4084,-2.99157,53.4084,-0.127758,51.5074,"london, uk"
12475,"Anselmo, Giovanni","Male","born 1934",1934,NA,"Piemonte, Italia","","http://www.tate.org.uk/art/artists/giovanni-anselmo-12475",7.51539,45.0522,7.51539,45.0522,NA,NA,NA
15135,"Ant Farm (Chip Lord, born 1944, Doug Michels, 1943-2003, Curtis Schreier, born 1944)","Male","",NA,NA,"","","http://www.tate.org.uk/art/artists/ant-farm-chip-lord-born-1944-doug-michels-1943-2003-curtis-schreier-born-1944-15135",NA,NA,NA,NA,NA,NA,NA
11604,"Antin, Eleanor","Female","born 1935",1935,NA,"New York, United States","","http://www.tate.org.uk/art/artists/eleanor-antin-11604",-74.0059,40.7128,-74.0059,40.7128,NA,NA,NA
653,"Anuszkiewicz, Richard","Male","born 1930",1930,NA,"Erie, United States","","http://www.tate.org.uk/art/artists/richard-anuszkiewicz-653",-80.0851,42.1292,-80.0851,42.1292,NA,NA,NA
10241,"Apóstol, Alexander","Male","born 1969",1969,NA,"Barquisimeto, Venezuela","","http://www.tate.org.uk/art/artists/alexander-apostol-10241",-69.3347,10.0636,-69.3347,10.0636,NA,NA,NA
654,"Appel, Karel","Male","1921–2006",1921,2006,"Amsterdam, Nederland","Zürich, Schweiz","http://www.tate.org.uk/art/artists/karel-appel-654",4.89517,52.3702,4.89517,52.3702,8.53918,47.3686,"zurich, switzerland"
655,"Appelbee, Leonard","Male","1914–2000",1914,2000,"Fulham, United Kingdom","","http://www.tate.org.uk/art/artists/leonard-appelbee-655",-0.201682,51.4773,-0.201682,51.4773,NA,NA,NA
656,"Appleyard, Fred","Male","1874–1963",1874,1963,"Middlesbrough, United Kingdom","Hampshire, United Kingdom","http://www.tate.org.uk/art/artists/fred-appleyard-656",-1.23496,54.5742,-1.23496,54.5742,-1.21684,51.0895,"hampshire, uk"
2364,"Araeen, Rasheed","Male","born 1935",1935,NA,"Karachi, Pakistan","","http://www.tate.org.uk/art/artists/rasheed-araeen-2364",67.0099,24.8615,67.0099,24.8615,NA,NA,NA
657,"Arakawa, Shusaku","","1936–2010",1936,2010,"Nagoya, Nihon","New York, United States","http://www.tate.org.uk/art/artists/shusaku-arakawa-657",136.906,35.1814,136.906,35.1814,-74.0059,40.7128,"new york, ny, usa"
2752,"Araki, Nobuyoshi","Male","born 1940",1940,NA,"Tokyo, Nihon","","http://www.tate.org.uk/art/artists/nobuyoshi-araki-2752",139.811,35.7652,139.811,35.7652,NA,NA,NA
10494,"Araujo, Juan","Male","born 1971",1971,NA,"Caracas, Venezuela","","http://www.tate.org.uk/art/artists/juan-araujo-10494",-66.8037,10.4696,-66.8037,10.4696,NA,NA,NA
5271,"Arbus, Diane","Female","1923–1971",1923,1971,"New York, United States","New York, United States","http://www.tate.org.uk/art/artists/diane-arbus-5271",-74.0059,40.7128,-74.0059,40.7128,-74.0059,40.7128,"new york, ny, usa"
12604,"Arcangel, Cory","Male","born 1978",1978,NA,"Buffalo, United States","","http://www.tate.org.uk/art/artists/cory-arcangel-12604",-78.8784,42.8864,-78.8784,42.8864,NA,NA,NA
658,"Archipenko, Alexander","Male","1887–1964",1887,1964,"Kiyev, Ukrayina","New York, United States","http://www.tate.org.uk/art/artists/alexander-archipenko-658",30.5234,50.4501,30.5234,50.4501,-74.0059,40.7128,"new york, ny, usa"
659,"Ardizzone, Edward","Male","1900–1979",1900,1979,"Hai Phìng, Viet Nam","Kent, United Kingdom","http://www.tate.org.uk/art/artists/edward-ardizzone-659",106.688,20.8449,106.688,20.8449,0.521725,51.2787,"kent, uk"
660,"Ardon, Mordecai","Male","1896–1992",1896,1992,"Tuchów, Polska","Yerushalayim, Mehoz, Yisra'el","http://www.tate.org.uk/art/artists/mordecai-ardon-660",21.0542,49.8948,21.0542,49.8948,NA,NA,NA
661,"Arikha, Avigdor","Male","1929–2010",1929,2010,"Radauti, România","Paris, France","http://www.tate.org.uk/art/artists/avigdor-arikha-661",25.9192,47.8425,25.9192,47.8425,2.35222,48.8566,"paris, france"
662,"Arman","Male","1928–2005",1928,2005,"Nice, France","","http://www.tate.org.uk/art/artists/arman-armand-fernandez-662",7.26195,43.7102,7.26195,43.7102,NA,NA,NA
663,"Armfield, Maxwell Ashby","Male","1881–1972",1881,1972,"Ringwood, United Kingdom","","http://www.tate.org.uk/art/artists/maxwell-ashby-armfield-663",-1.78882,50.8449,-1.78882,50.8449,NA,NA,NA
11,"Armitage, Edward","Male","1817–1896",1817,1896,"London, United Kingdom","Royal Tunbridge Wells, United Kingdom","http://www.tate.org.uk/art/artists/edward-armitage-11",-0.127758,51.5074,-0.127758,51.5074,0.263695,51.1324,"royal tunbridge wells, kent, uk"
664,"Armitage, Kenneth","Male","1916–2002",1916,2002,"Leeds, United Kingdom","","http://www.tate.org.uk/art/artists/kenneth-armitage-664",-1.54908,53.8008,-1.54908,53.8008,NA,NA,NA
12,"Armstead, Henry Hugh","Male","1828–1905",1828,1905,"London, United Kingdom","","http://www.tate.org.uk/art/artists/henry-hugh-armstead-12",-0.127758,51.5074,-0.127758,51.5074,NA,NA,NA
665,"Armstrong, John","Male","1893–1973",1893,1973,"Hastings, United Kingdom","","http://www.tate.org.uk/art/artists/john-armstrong-665",0.573453,50.8543,0.573453,50.8543,NA,NA,NA
13,"Arnald, George","Male","1763–1841",1763,1841,"Berkshire, United Kingdom","","http://www.tate.org.uk/art/artists/george-arnald-13",-1.2814,51.466,-1.2814,51.466,NA,NA,NA
666,"Arnatt, Keith","Male","1930–2008",1930,2008,"Oxford, United Kingdom","","http://www.tate.org.uk/art/artists/keith-arnatt-666",-1.25773,51.752,-1.25773,51.752,NA,NA,NA
667,"Arp, Jean","Male","1886–1966",1886,1966,"Strasburg, Deutschland","Basel, Schweiz","http://www.tate.org.uk/art/artists/jean-arp-hans-arp-667",13.7455,53.5119,13.7455,53.5119,7.59755,47.5674,"basel, switzerland"
16245,"Art & Language (Harold Hurrell)","Male","born 1940",1940,NA,"","","http://www.tate.org.uk/art/artists/art-language-harold-hurrell-16245",NA,NA,NA,NA,NA,NA,NA
16236,"Art & Language (Ian Burn)","Male","1939–1993",1939,1993,"Geelong, Australia","","http://www.tate.org.uk/art/artists/art-language-ian-burn-16236",144.361,-38.1485,144.361,-38.1485,NA,NA,NA
16838,"Art & Language (Michael Baldwin)","Male","born 1945",1945,NA,"Chipping Norton, United Kingdom","","http://www.tate.org.uk/art/artists/art-language-michael-baldwin-16838",-1.54219,51.9435,-1.54219,51.9435,NA,NA,NA
2202,"Art & Language (Michael Baldwin, born 1945; Mel Ramsden, born 1944)","","",1944,NA,"","","http://www.tate.org.uk/art/artists/art-language-michael-baldwin-born-1945-mel-ramsden-born-1944-2202",NA,NA,NA,NA,NA,NA,NA
17138,"Art & Language (Terry Atkinson, born 1939; David Bainbridge, born 1941; Michael Baldwin, born 1945; Harold Hurrell, born","","established 1967/1968",1967,NA,"","","http://www.tate.org.uk/art/artists/art-language-terry-atkinson-born-1939-david-bainbridge-born-1941-michael-baldwin-born-1945-17138",NA,NA,NA,NA,NA,NA,NA
668,"Art & Language (Terry Atkinson, born 1939; Michael Baldwin, born 1945)","","",1939,NA,"","","http://www.tate.org.uk/art/artists/art-language-terry-atkinson-born-1939-michael-baldwin-born-1945-668",NA,NA,NA,NA,NA,NA,NA
2474,"Artaud, William","Male","1763–1823",1763,1823,"London, United Kingdom","London, United Kingdom","http://www.tate.org.uk/art/artists/william-artaud-2474",-0.127758,51.5074,-0.127758,51.5074,-0.127758,51.5074,"london, uk"
669,"Artschwager, Richard","Male","1923 – 2013",1923,2013,"Washington, United States","","http://www.tate.org.uk/art/artists/richard-artschwager-669",-77.0369,38.9072,-77.0369,38.9072,NA,NA,NA
670,"Askew, Victor","Male","1909–1974",1909,1974,"Rotherham, United Kingdom","Hertfordshire, United Kingdom","http://www.tate.org.uk/art/artists/victor-askew-670",-1.3635,53.4326,-1.3635,53.4326,-0.237674,51.8098,"hertfordshire, uk"
5229,"Ataman, Kutlug","Male","born 1961",1961,NA,"Istanbul, Türkiye","","http://www.tate.org.uk/art/artists/kutlug-ataman-5229",28.977,41.0053,28.977,41.0053,NA,NA,NA
6630,"Atay, Fikret","Male","born 1974",1974,NA,"Batman, Türkiye","","http://www.tate.org.uk/art/artists/fikret-atay-6630",41.1351,37.8812,41.1351,37.8812,NA,NA,NA
15601,"Atkins, Ed","Male","born 1982",1982,NA,"United Kingdom","","http://www.tate.org.uk/art/artists/ed-atkins-15601",-3.43597,55.3781,-3.43597,55.3781,NA,NA,NA
14,"Atkins, Samuel","Male","active 1787–1808",1787,1808,"","","http://www.tate.org.uk/art/artists/samuel-atkins-14",NA,NA,NA,NA,NA,NA,NA
671,"Atkinson, Conrad","Male","born 1940",1940,NA,"Cumbria, United Kingdom","","http://www.tate.org.uk/art/artists/conrad-atkinson-671",-2.79748,54.5772,-2.79748,54.5772,NA,NA,NA
2412,"Atkinson, John Augustus","Male","1775–1830",1775,1830,"London, United Kingdom","","http://www.tate.org.uk/art/artists/john-augustus-atkinson-2412",-0.127758,51.5074,-0.127758,51.5074,NA,NA,NA
672,"Atkinson, Lawrence","Male","1873–1931",1873,1931,"","","http://www.tate.org.uk/art/artists/lawrence-atkinson-672",NA,NA,NA,NA,NA,NA,NA
11829,"Atkinson, Terry","Male","born 1939",1939,NA,"Barnsley, United Kingdom","","http://www.tate.org.uk/art/artists/terry-atkinson-11829",-1.47973,53.5526,-1.47973,53.5526,NA,NA,NA
673,"Atlan, Jean-Michel","Male","1913–1960",1913,1960,"Qacentina, Al-Jaza'ir","Paris, France","http://www.tate.org.uk/art/artists/jean-michel-atlan-673",NA,NA,NA,NA,2.35222,48.8566,"paris, france"
7639,"Atlas Group","","established 1999",1999,NA,"","","http://www.tate.org.uk/art/artists/atlas-group-7639",NA,NA,NA,NA,NA,NA,NA
15557,"Atlas, Charles","Male","born 1958",1958,NA,"Saint Louis City, United States","","http://www.tate.org.uk/art/artists/charles-atlas-15557",-90.1994,38.627,-90.1994,38.627,NA,NA,NA
13674,"Attia, Kader","Male","born 1970",1970,NA,"Dugny, France","","http://www.tate.org.uk/art/artists/kader-attia-13674",2.41698,48.9522,2.41698,48.9522,NA,NA,NA
674,"Atwood, Clare","Female","1866–1962",1866,1962,"Richmond, United Kingdom","Tenterden, United Kingdom","http://www.tate.org.uk/art/artists/clare-atwood-674",-0.303742,51.4613,-0.303742,51.4613,0.689122,51.0694,"tenterden, kent, uk"
675,"Auerbach, Arnold","Male","1898–1978",1898,1978,"Liverpool, United Kingdom","","http://www.tate.org.uk/art/artists/arnold-auerbach-675",-2.99157,53.4084,-2.99157,53.4084,NA,NA,NA
676,"Auerbach, Frank","Male","born 1931",1931,NA,"Berlin, Deutschland","","http://www.tate.org.uk/art/artists/frank-auerbach-676",13.405,52.52,13.405,52.52,NA,NA,NA
14648,"Augustyniak, Mathias","Male","born 1968",1968,NA,"Cavaillon, France","","http://www.tate.org.uk/art/artists/mathias-augustyniak-14648",5.04078,43.8366,5.04078,43.8366,NA,NA,NA
15,"Aumonier, James","Male","1832–1911",1832,1911,"","","http://www.tate.org.uk/art/artists/james-aumonier-15",NA,NA,NA,NA,NA,NA,NA
2398,"Austen, David","Male","born 1960",1960,NA,"Harlow, United Kingdom","","http://www.tate.org.uk/art/artists/david-austen-2398",0.087806,51.7678,0.087806,51.7678,NA,NA,NA
677,"Austin, Robert","Male","1895–1973",1895,1973,"Leicester, United Kingdom","","http://www.tate.org.uk/art/artists/robert-austin-677",-1.13976,52.6369,-1.13976,52.6369,NA,NA,NA
