country,gdp1800,gdp1801,gdp1802,gdp1803,gdp1804,gdp1805,gdp1806,gdp1807,gdp1808,gdp1809,gdp1810,gdp1811,gdp1812,gdp1813,gdp1814,gdp1815,gdp1816,gdp1817,gdp1818,gdp1819,gdp1820,gdp1821,gdp1822,gdp1823,gdp1824,gdp1825,gdp1826,gdp1827,gdp1828,gdp1829,gdp1830,gdp1831,gdp1832,gdp1833,gdp1834,gdp1835,gdp1836,gdp1837,gdp1838,gdp1839,gdp1840,gdp1841,gdp1842,gdp1843,gdp1844,gdp1845,gdp1846,gdp1847,gdp1848,gdp1849,gdp1850,gdp1851,gdp1852,gdp1853,gdp1854,gdp1855,gdp1856,gdp1857,gdp1858,gdp1859,gdp1860,gdp1861,gdp1862,gdp1863,gdp1864,gdp1865,gdp1866,gdp1867,gdp1868,gdp1869,gdp1870,gdp1871,gdp1872,gdp1873,gdp1874,gdp1875,gdp1876,gdp1877,gdp1878,gdp1879,gdp1880,gdp1881,gdp1882,gdp1883,gdp1884,gdp1885,gdp1886,gdp1887,gdp1888,gdp1889,gdp1890,gdp1891,gdp1892,gdp1893,gdp1894,gdp1895,gdp1896,gdp1897,gdp1898,gdp1899,gdp1900,gdp1901,gdp1902,gdp1903,gdp1904,gdp1905,gdp1906,gdp1907,gdp1908,gdp1909,gdp1910,gdp1911,gdp1912,gdp1913,gdp1914,gdp1915,gdp1916,gdp1917,gdp1918,gdp1919,gdp1920,gdp1921,gdp1922,gdp1923,gdp1924,gdp1925,gdp1926,gdp1927,gdp1928,gdp1929,gdp1930,gdp1931,gdp1932,gdp1933,gdp1934,gdp1935,gdp1936,gdp1937,gdp1938,gdp1939,gdp1940,gdp1941,gdp1942,gdp1943,gdp1944,gdp1945,gdp1946,gdp1947,gdp1948,gdp1949,gdp1950,gdp1951,gdp1952,gdp1953,gdp1954,gdp1955,gdp1956,gdp1957,gdp1958,gdp1959,gdp1960,gdp1961,gdp1962,gdp1963,gdp1964,gdp1965,gdp1966,gdp1967,gdp1968,gdp1969,gdp1970,gdp1971,gdp1972,gdp1973,gdp1974,gdp1975,gdp1976,gdp1977,gdp1978,gdp1979,gdp1980,gdp1981,gdp1982,gdp1983,gdp1984,gdp1985,gdp1986,gdp1987,gdp1988,gdp1989,gdp1990,gdp1991,gdp1992,gdp1993,gdp1994,gdp1995,gdp1996,gdp1997,gdp1998,gdp1999,gdp2000,gdp2001,gdp2002,gdp2003,gdp2004,gdp2005,gdp2006,gdp2007,gdp2008,gdp2009,gdp2010,gdp2011,gdp2012,gdp2013
Dominican Rep.,702.105,702.105,702.105,702.105,702.105,702.105,702.105,702.105,702.105,702.105,702.105,702.105,702.105,702.105,702.105,702.105,702.105,702.105,702.105,702.105,702.105,705.816,709.547,713.297,717.068,720.858,724.668,728.499,732.349,736.221,740.112,744.024,747.957,751.911,755.885,759.88,763.897,767.935,771.994,776.075,780.177,784.301,788.446,792.614,796.804,801.015,805.249,809.506,813.785,818.086,822.41,826.757,831.128,835.521,839.937,844.377,848.84,853.327,857.837,862.372,866.93,871.513,876.119,880.75,885.406,890.086,894.791,899.52,904.275,909.055,913.86,918.69,923.547,928.428,933.336,938.269,943.229,948.214,953.226,958.265,963.33,968.422,973.541,978.687,983.86,989.061,994.289,999.544,1004.83,1010.14,1015.48,1020.85,1026.24,1031.67,1037.12,1042.6,1048.11,1053.65,1059.22,1064.82,1070.45,1076.11,1081.8,1087.51,1093.26,1099.04,1104.85,1110.69,1116.56,1122.46,1128.4,1134.36,1140.36,1146.39,1164.01,1181.9,1200.07,1218.52,1237.26,1256.28,1275.59,1295.2,1315.12,1335.33,1355.86,1376.71,1397.87,1419.36,1441.18,1463.34,1485.84,1508.68,1531.87,1555.43,1579.34,1603.62,1628.27,1653.31,1678.72,1704.53,1730.74,1757.34,1784.36,1811.79,1839.65,1867.93,1896.65,1925.81,1955.41,1985.47,2016,2192.18,2302.01,2204.22,2258.06,2321.86,2473.19,2543.6,2591.02,2520.09,2557.32,2417.99,2737.5,2821.43,2913.95,2471.61,2717.28,2723.64,2647.77,2852.28,3065.79,3297.69,3606.67,3936.92,4057.44,4145.37,4315.96,4417.17,4412.8,4494.57,4656.52,4736.87,4712.15,4810.67,4718.73,4500.78,4537.15,4775.97,4709.08,5200.7,4855.49,4800.25,5013.75,5027.37,5157.79,5300.78,5587.5,5952.34,6283.76,6678.71,7164.48,7309.28,7516.49,7610.38,7969.16,8519.81,9262.85,9869.66,10204.2,10369.4,10975,11263.7,11495.4,11754.9
East Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ecuador,1403.27,1403.27,1403.27,1403.27,1403.27,1403.27,1403.27,1403.27,1403.27,1403.27,1403.27,1403.27,1403.27,1403.27,1403.27,1403.27,1403.27,1403.27,1403.27,1403.27,1403.27,1412.05,1420.89,1429.78,1438.74,1447.74,1456.8,1465.92,1475.1,1484.33,1493.63,1502.98,1512.38,1521.85,1531.38,1540.96,1550.61,1560.32,1570.08,1579.91,1589.8,1599.75,1609.77,1619.85,1629.99,1640.19,1650.46,1660.79,1671.18,1681.65,1692.17,1702.77,1713.42,1724.15,1734.94,1745.8,1756.73,1767.73,1778.8,1789.93,1801.13,1812.41,1823.76,1835.17,1846.66,1858.22,1869.85,1881.56,1893.33,1905.19,1917.11,1929.11,1941.19,1953.34,1965.57,1977.87,1990.25,2002.71,2015.25,2027.86,2040.56,2053.33,2066.19,2079.12,2092.14,2105.23,2118.41,2131.67,2145.02,2158.44,2171.95,2185.55,2199.23,2213,2226.85,2240.79,2254.82,2268.93,2283.14,2297.43,2311.81,2326.28,2340.84,2355.5,2370.24,2385.08,2400.01,2415.03,2430.15,2445.36,2460.67,2476.07,2491.57,2507.17,2522.87,2538.66,2554.55,2570.54,2586.63,2602.82,2619.12,2635.51,2652.01,2668.61,2685.32,2702.13,2719.04,2736.06,2753.19,2770.43,2787.77,2805.22,2822.78,2840.45,2858.23,2876.12,2894.13,2912.24,2930.47,2948.82,3074.57,2998.99,3083.54,3387.66,3342.44,3272.56,3569.84,3854.27,4263.32,4219.06,4223.84,4160.77,4554.74,4530.77,4768.9,4764.28,4807.84,4888.94,4894.41,5013.9,5188.78,5166.81,5284.1,5260.77,5466.42,5817.37,5794.44,5921.59,6065.55,6209.81,6451.2,6624.63,6829.3,7459.9,7670.35,7843.54,8358.93,8637.99,8980.31,9204.53,9362.36,9480.5,9328.76,8891.94,9012.12,9150.14,9177.39,8382.13,9042.27,8827.82,8848.36,9107.06,9186.4,9190.89,9399.54,9486.89,9481.02,9607.66,9464.83,8626.3,7263.07,7516.38,7465.61,7644.01,8161.3,8448.37,8691.62,8751.41,9170.92,9129.33,9288.57,9881.9,10219,10480.9
Egypt,1049.66,1049.66,1049.66,1049.66,1049.66,1049.66,1049.66,1049.66,1049.66,1049.66,1049.66,1049.66,1049.66,1049.66,1049.66,1049.66,1049.66,1049.66,1049.66,1049.66,1049.66,1054.91,1060.16,1065.4,1070.65,1075.9,1081.15,1086.4,1091.65,1096.89,1102.14,1107.39,1112.64,1117.89,1123.14,1128.38,1133.63,1138.88,1144.13,1149.38,1154.63,1159.87,1165.12,1170.37,1175.62,1180.87,1186.11,1191.36,1196.61,1201.86,1207.11,1212.36,1217.6,1222.85,1228.1,1233.35,1238.6,1243.85,1249.09,1254.34,1259.59,1264.84,1270.09,1275.34,1280.58,1285.83,1291.08,1296.33,1301.58,1306.83,1312.07,1317.94,1323.84,1313.29,1302.74,1292.19,1281.64,1271.1,1260.55,1250,1259.59,1297.67,1335.75,1373.84,1411.92,1450,1466.63,1483.26,1499.89,1516.51,1533.14,1549.77,1566.4,1583.03,1599.66,1616.29,1632.91,1649.54,1666.17,1682.8,1699.43,1716.06,1732.69,1749.32,1765.94,1782.57,1742.15,1750.24,1784.59,1762.36,1782.57,1810.87,1804.8,1827.04,1748.21,1784.59,1770.45,1711.84,1673.44,1721.94,1566.32,1578.45,1661.31,1748.21,1822.99,1833.1,1814.91,1827.04,1843.2,1837.14,1762.36,1778.53,1818.95,1869.48,1863.41,1893.73,1905.86,1911.92,1851.29,1800.76,1810.87,1802.78,1717.9,1725.98,1740.13,1774.49,1786.97,1799.45,1811.94,1824.42,1836.9,1832.15,1910.27,1956.77,1859.53,1812.8,1802.17,1842.03,1969.94,2004.58,2107.71,2157.28,2150.15,2170.53,2486.9,2548.87,2482.05,2406.46,2487.08,2638.66,3079.11,3113.31,3162.24,3115.56,3123.96,3211.4,3571.42,3764.33,3971.56,4280.97,4598.6,4569.85,4772.83,5058.46,5316.6,5550.88,5668.19,5783.32,5893.52,5938.71,6023.77,5977.25,6137.02,6215.27,6363.07,6556.52,6777.77,7039.97,7210.94,7532.1,7811.76,7959.44,8017.05,8138.48,8332.45,8561.17,8995.06,9471.86,9979.97,10271.8,10620.6,10628.7,10587.6,10597.8
El Salvador,1025.65,1025.65,1025.65,1025.65,1025.65,1025.65,1025.65,1025.65,1025.65,1025.65,1025.65,1025.65,1025.65,1025.65,1025.65,1025.65,1025.65,1025.65,1025.65,1025.65,1025.65,1034.14,1042.7,1051.33,1060.03,1068.81,1077.65,1086.57,1095.57,1104.64,1113.78,1123,1132.29,1141.67,1151.12,1160.65,1170.25,1179.94,1189.71,1199.55,1209.48,1219.49,1229.59,1239.77,1250.03,1260.38,1270.81,1281.33,1291.93,1302.63,1313.41,1324.28,1335.24,1346.3,1357.44,1368.68,1380,1391.43,1402.94,1414.56,1426.27,1438.07,1449.98,1461.98,1474.08,1486.28,1498.58,1510.99,1523.49,1536.11,1548.82,1561.64,1574.57,1587.6,1600.74,1613.99,1627.35,1640.82,1654.4,1668.1,1681.9,1695.83,1709.86,1724.02,1738.29,1752.68,1767.18,1781.81,1796.56,1811.43,1826.42,1841.54,1856.79,1872.16,1887.65,1903.28,1919.03,1934.92,1950.93,1967.08,1983.36,1999.78,2016.33,2033.02,2049.85,2066.82,2083.93,2101.18,2118.57,2136.1,2153.79,2171.61,2189.59,2207.71,2225.99,2244.41,2262.99,2281.72,2300.61,2319.65,2338.85,2305.87,2382.8,2443.48,2551.66,2321.06,2681.71,2322.42,2645.35,2611.39,2621.43,2317.52,2064.58,2312.94,2357.05,2560.67,2470.99,2671.16,2451.42,2597.01,2786.73,2693.67,2873.99,3097.42,2887.36,2735.97,2747.63,3417.09,4281.97,3825.02,3734.26,3712.36,3887.19,4053.04,3986.78,4074.32,4267.57,4363.12,4325.52,4383.85,4423.6,4435.99,4816.17,4867.69,5161.62,5269.33,5447.46,5558.07,5541.96,5533.11,5484.94,5573.67,5764.2,5875.05,6109.84,6279.8,6351.73,6553.14,6809.29,6534.18,5903.87,5482.4,5226.19,5207.09,5245.9,5280.06,5240.25,5279.88,5282.59,5246.44,5314.09,5372.8,5667.27,5923.57,6167.18,6429.94,6423.88,6573.42,6693.35,6791.14,6811.17,6799.64,6824.3,6822.55,6821.91,6889.89,7135.83,7373.39,7430.8,7170.32,7239.64,7352.41,7446.69,7535.51
Equatorial Guinea,374.272,374.74,375.208,375.676,376.144,376.612,377.079,377.547,378.015,378.483,378.951,379.419,379.887,380.354,380.822,381.29,381.758,382.226,382.694,383.161,383.629,384.097,384.565,385.033,385.501,385.968,386.436,386.904,387.372,387.84,388.308,388.775,389.243,389.711,390.179,390.647,391.115,391.583,392.05,392.518,392.986,393.454,393.922,394.39,394.857,395.325,395.793,396.261,396.729,397.197,397.664,398.132,398.6,399.068,399.536,400.004,400.472,400.939,401.407,401.875,402.343,402.811,403.279,403.746,404.214,404.682,405.15,405.618,406.086,406.553,407.021,407.489,407.957,408.425,408.893,409.36,409.828,410.296,410.764,411.232,411.7,412.168,412.635,413.103,413.571,414.039,414.507,414.975,415.442,415.91,416.378,416.846,417.314,417.782,418.249,418.717,419.185,419.653,420.121,420.589,421.056,422.593,424.129,425.665,427.201,428.738,430.274,431.81,433.346,434.883,436.419,437.955,439.491,441.028,442.564,444.1,445.636,447.173,448.709,450.245,451.781,453.318,454.854,456.39,457.926,459.463,460.999,462.535,464.071,465.608,467.144,468.68,470.216,471.753,473.289,474.825,476.361,477.898,479.434,480.97,482.506,484.043,485.579,487.115,488.651,490.188,491.724,493.26,494.796,496.333,497.869,517.071,527.165,541.094,562.834,571.644,587.089,597.969,608.387,633.709,688.384,743.775,817.94,928.208,1055.73,1185.66,1219.78,1284.92,1313.3,1257.96,1207.4,1094.07,943.64,982.559,1040.65,1193.57,1339.05,1345.22,1450.43,1421.3,1361.91,1313.44,1302.08,1259.23,1178.92,1250.45,1163.67,1170,1163.94,1115.91,1056.96,1011.75,1317.81,1414.15,1595.08,1812.95,2921.78,7068.63,8470.57,10308.8,11805.7,18681.7,21623,23884.8,31971.1,34060.3,33490.6,36817.8,40179.8,35912.7,34462.2,35182.5,35313.2,32667
Eritrea,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,560,561.505,563.011,564.516,566.022,567.527,569.032,570.538,572.043,573.548,575.054,576.559,578.065,579.57,581.075,582.581,584.086,585.591,587.097,588.602,590.108,591.613,593.118,594.624,596.129,597.634,599.14,600.645,602.151,603.656,605.161,606.667,608.172,609.677,611.183,612.688,614.194,615.699,617.204,618.71,620.215,621.72,623.226,624.731,626.237,627.742,629.247,630.753,632.258,633.763,635.269,636.774,638.28,639.785,641.29,642.796,644.301,645.806,647.312,648.817,650.323,651.828,653.333,654.839,656.344,657.849,659.355,660.86,662.366,663.871,665.376,666.882,668.387,669.892,671.398,672.903,674.409,675.914,677.419,678.925,680.43,681.935,683.441,684.946,686.452,687.957,689.462,690.968,692.473,693.978,695.484,696.989,698.495,700,703.49,706.979,710.469,713.959,717.448,720.938,724.427,727.917,731.407,734.896,738.386,741.876,745.365,748.855,752.344,755.834,759.324,762.813,766.303,769.793,773.282,776.772,780.262,783.751,787.241,790.73,794.22,797.71,801.199,804.689,808.179,811.668,815.158,818.648,822.137,825.627,829.116,838.55,847.977,881.813,866.671,897.199,910.368,887.216,899.633,906.791,935.316,951.194,965.006,981.483,992.78,1032.58,1059.52,1103.21,1134.83,1148.26,1103.56,1122.43,1138.2,1131.51,1104.07,1030.95,1012.99,995.912,925.11,1007.16,1010.16,1011.59,992.975,1038.06,981.857,842.103,894.546,986.459,960.63,925.427,918.399,1013.82,1123.1,1269.26,1531.84,1554.05,1668.88,1760.15,1744.38,1691.05,1428.91,1493.78,1474.74,1374.99,1337.94,1319.92,1262.57,1238.71,1082.94,1090.87,1081.08,1139.22,1180.28,1157.81
Eritrea and Ethiopia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estonia,986.899,987.928,988.958,989.989,991.021,992.055,993.089,994.124,995.161,996.198,997.237,998.276,999.317,1000.36,1001.4,1002.45,1003.49,1004.54,1005.58,1006.63,1007.68,1014.06,1020.48,1026.95,1033.45,1039.99,1046.58,1053.21,1059.88,1066.59,1073.34,1080.14,1086.98,1093.86,1100.79,1107.76,1114.78,1121.83,1128.94,1136.09,1143.28,1150.52,1157.81,1165.14,1172.52,1179.94,1187.41,1194.93,1202.5,1210.11,1217.78,1225.49,1233.25,1241.06,1248.92,1256.83,1264.79,1272.79,1280.85,1288.97,1297.13,1305.34,1313.61,1321.93,1330.3,1338.72,1347.2,1355.73,1364.31,1372.95,1381.65,1390.4,1399.2,1408.06,1416.98,1425.95,1434.98,1444.07,1453.21,1462.42,1471.68,1481,1490.37,1499.81,1509.31,1518.87,1460.21,1707.42,1642.47,1527.25,1520.96,1393.17,1525.15,1728.37,1965.1,1818.45,2002.81,1969.29,2021.66,2145.27,2099.18,2151.55,2338.01,2176.69,2407.14,2130.6,2036.33,1956.72,2136.89,2218.59,2367.34,2187.17,2363.15,2482.56,2370.64,2439.83,2169.19,1904.55,1523.64,1401.75,1822.27,2095.61,2409.95,2578.65,2622.57,2745.38,2820.4,3015.33,3192.34,3203.64,3143.29,3043.01,3006.65,3185.75,3523.86,3646.83,3866.3,4057.8,4232.63,4018.32,3797.48,3726.22,3656.29,3587.67,3520.35,3454.28,3389.46,3766,4254.79,4647.14,5033.65,4970.58,5202.27,5336.8,5502.53,5868.65,6317.76,6334.52,6691.14,6499.8,6989.18,7259.32,7334.4,7059.78,7863.51,8208.53,8509.78,8791.9,9215.18,9256.63,9876.14,10039.5,9996.4,10734,11001,10988.4,11460.7,11689.6,11943.8,11852.2,11834.8,11910.3,12168.7,12519.3,12629.6,12698.5,13176.4,13305.8,13553.8,13762.8,13415.4,12149.6,10647,9985.55,9985.74,10586.8,11207.9,12511.6,13278.5,13372.3,14519,15559.3,16800.5,17780.2,19386.5,21503.8,23724.9,25545.6,24512,21070.8,21777.2,23579.7,25373.9,25743.9
Ethiopia,550.074,550.074,550.074,550.074,550.074,550.074,550.074,550.074,550.074,550.074,550.074,550.074,550.074,550.074,550.074,550.074,550.074,550.074,550.074,550.074,550.074,550.183,550.293,550.402,550.512,550.621,550.731,550.84,550.95,551.059,551.169,551.278,551.388,551.498,551.607,551.717,551.826,551.936,552.045,552.155,552.264,552.374,552.483,552.593,552.702,552.812,552.921,553.031,553.141,553.25,553.36,553.469,553.579,553.688,553.798,553.907,554.017,554.126,554.236,554.345,554.455,554.564,554.674,554.784,554.893,555.003,555.112,555.222,555.331,555.441,555.55,555.66,555.769,555.879,555.988,556.098,556.207,556.317,556.426,556.536,556.646,556.755,556.865,556.974,557.084,557.193,557.303,557.412,557.522,557.631,557.741,557.85,557.96,558.069,558.179,558.289,558.398,558.508,558.617,558.727,558.836,558.946,559.055,559.165,559.274,559.384,559.493,559.603,559.712,559.822,559.932,560.041,560.151,560.26,561.04,561.82,562.599,563.379,564.159,564.939,565.718,566.498,567.278,568.057,568.837,569.617,570.397,571.176,571.956,572.736,573.516,574.295,575.075,575.855,576.635,577.414,578.194,578.974,579.753,580.533,581.313,582.093,582.872,583.652,584.432,585.212,585.991,586.771,587.551,588.331,589.11,595.813,602.511,626.552,615.794,637.485,646.842,630.392,639.214,644.301,664.568,675.85,685.664,697.371,705.398,733.677,752.819,783.86,806.325,815.873,784.107,797.517,808.722,803.968,784.474,732.519,719.759,707.623,657.317,715.613,717.746,718.765,705.536,737.573,697.637,598.338,635.599,700.906,682.554,657.542,652.548,585.251,516.01,563.781,562.353,577.725,629.728,630.498,591.419,604.454,623.047,655.579,646.562,614.651,678.503,737.766,795.522,862.958,930.827,986.299,1081.32,1171.29,1241.6,1330.52
Faeroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falkland Islands (Malvis),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fiji,826.205,826.205,826.205,826.205,826.205,826.205,826.205,826.205,826.205,826.205,826.205,826.205,826.205,826.205,826.205,826.205,826.205,826.205,826.205,826.205,826.205,828.888,831.58,834.281,836.99,839.708,842.435,845.171,847.915,850.669,853.431,856.203,858.983,861.773,864.571,867.379,870.196,873.022,875.857,878.701,881.555,884.417,887.29,890.171,893.062,895.962,898.872,901.791,904.719,907.657,910.605,913.562,916.529,919.505,922.491,925.487,928.492,931.507,934.532,937.567,940.612,943.667,946.731,949.805,952.89,955.984,959.089,962.203,965.328,968.463,971.608,974.763,977.929,981.105,984.291,987.487,990.694,993.911,997.139,1000.38,1003.63,1006.88,1010.15,1013.43,1016.73,1020.03,1023.34,1026.66,1030,1033.34,1036.7,1040.06,1043.44,1046.83,1050.23,1053.64,1057.06,1060.5,1063.94,1067.39,1070.86,1074.34,1077.83,1081.33,1084.84,1088.36,1091.9,1095.44,1099,1102.57,1106.15,1109.74,1113.34,1116.96,1144.88,1173.49,1202.82,1232.88,1263.69,1295.28,1327.65,1360.83,1394.84,1429.7,1465.43,1502.06,1539.6,1578.08,1617.52,1657.94,1699.38,1741.85,1785.38,1830,1875.74,1922.62,1970.67,2019.92,2070.41,2122.15,2175.19,2229.55,2285.28,2342.39,2400.93,2460.94,2522.44,2585.49,2650.1,2716.34,2784.23,2853.81,2925.13,2998.24,3073.18,3149.98,3228.71,3309.4,3392.11,3476.89,3563.79,3565.62,3568.94,3669.57,3727.73,3522.76,3431.31,3797.63,4008.54,4026.08,4443.17,4650.76,4896.08,5353.8,5384.24,5308.56,5353.58,5569.49,5571.75,6132.2,5905.47,6129.69,5616.2,5260.1,5581.59,5241.69,5596.42,5205.99,5250.14,5630.86,5741.07,5853.43,5968,6040.86,6264.39,6344.47,6580.33,6376.35,6405.88,6916.1,6748.55,6835.37,7007.84,7033.49,7360.42,7365.75,7436.52,7310.2,7325.49,7173.44,7130.58,7227.7,7313.63,7498.41
Finland,1315.98,1318.2,1320.44,1322.67,1324.91,1327.16,1329.4,1331.65,1333.91,1336.17,1338.43,1340.7,1342.97,1345.24,1347.52,1349.8,1352.09,1354.38,1356.67,1358.97,1361.27,1368.27,1375.31,1382.38,1389.49,1396.63,1403.81,1411.03,1418.29,1425.58,1432.92,1440.28,1447.69,1455.14,1462.62,1470.14,1477.7,1485.3,1492.94,1500.62,1508.33,1516.09,1523.89,1531.72,1539.6,1547.52,1555.48,1563.48,1571.52,1579.6,1587.72,1595.93,1604.18,1612.48,1620.82,1629.2,1637.62,1646.09,1654.6,1663.16,1671.76,1669.43,1562.18,1669.12,1688.16,1658.33,1670.02,1544.01,1748.85,1919.87,1986.42,1964.04,1995.75,2080.04,2098.73,2111.05,2194.81,2111.07,2044.09,2034.74,2012.82,1934.79,2096.58,2143.51,2125.26,2145.98,2223.15,2223.21,2269.83,2312.19,2407.1,2353.68,2230.79,2337.14,2439.14,2601.19,2736.34,2830.91,2907.6,2800.92,2908.09,2851.79,2773.58,2938.26,3017.04,3035.93,3127.44,3197.44,3187.77,3284.26,3322.86,3379.83,3524.97,3678.81,3487,3279.69,3299.49,2755.43,2387.51,2890.23,3216.68,3284.53,3587.04,3811.5,3876.42,4057.95,4168.83,4456.95,4718.6,4735.3,4646.09,4497.88,4444.14,4708.86,5208.62,5390.39,5714.77,5997.84,6256.26,5939.48,5613.05,5790.48,5799.13,6443.24,6422.08,6012.37,6419.31,6478.31,6897.23,7221.53,7413.31,7967.41,8147.45,8107.62,8717.51,9057.84,9229.54,9568.95,9541.54,10028.2,10859.3,11604.5,11885.2,12190.3,12735.3,13367.8,13637.8,13850.6,14105.8,15473.3,16692.1,17019.5,18209.6,19320.9,19802.3,19941.7,19797.2,19790.5,20146.7,21493.4,22569.5,22892.1,23503.4,23995.1,24587.4,25311.4,25829.7,26810.6,28040.6,29535.7,29397.4,27369.5,26184.3,25737.5,26638.8,27456.3,28410.4,30086.2,31710,32865.2,34459,35287.8,35768.5,36333.4,37603.3,38640.2,40181.3,42137.1,42055.9,38284.4,39381.3,40280.3,39687.6,38962.1
France,1923.07,1926.68,1930.28,1933.89,1937.5,1941.1,1944.71,1948.31,1951.92,1955.53,1959.13,1962.74,1966.34,1969.95,1973.56,1977.16,1980.77,1984.37,1987.98,1991.59,1995.19,2118.62,1960.67,1950.33,1901.64,1911.04,1966.65,1975.85,1850.22,1950.62,1911.11,1893.78,2027.91,2022.52,1994.36,2094.75,2130.6,2152.44,2194.54,2156.19,2316.31,2246.64,2198.94,2277.39,2340.79,2420.38,2568.35,2794.67,2176.93,2167.93,2272.83,2230.1,2518.9,2795.74,3130.48,3295.27,3415.04,3292.07,3067.56,3068.95,3262.92,3326.76,3441.05,3532.25,3588.61,3521.8,3664.3,3604.71,3848.77,3608.59,3481.32,3641.07,3832.9,3779.22,3935.5,3853.85,3804.67,3787.39,3573.79,3536.04,3747.61,3986.57,4120.64,3940.16,3732.61,3621.51,3573.89,3602.19,3685.1,3695.37,3830.26,3871.03,3951.78,3801.6,4170.47,4084.12,4211.83,4088.27,4328.32,4479.46,4534.95,4308.83,4253.76,4392.49,4476.34,4586.81,4519.72,4880.78,4860.18,5011.57,4766.9,5250.43,5683.91,5633.38,4722.42,4156.65,4762.54,4716.56,4040.43,4454.24,4757.51,4518.58,5414.12,5664.83,6282.15,6320.53,6532.31,6393.61,6766.44,7336.22,7077.79,6760.07,6163.22,6341.71,6117.57,5964.1,6046.08,6183.68,6026.92,6274.2,4950.1,4787.27,4818.37,4804.84,3678.22,4523.77,6038.93,6360.29,7131.32,7512.27,8065.12,8453.74,8595.64,8768.58,9153.27,9600.7,10056.1,10592.4,10827.7,11054.4,11788.4,12313.9,12912.8,13378.5,14112.3,14655.7,15297.8,15895.5,16454.8,17472.2,18315.9,19019.2,19694.9,20607.5,21113.1,20958.1,21764,22367.2,23019.3,23732.3,24039.1,24254.1,24814.2,25241.4,25541.1,25953.2,26480,26981.6,28111,28941.8,29466.3,29697.3,30022.6,29709.5,30293.1,30813.1,31130.3,31745.5,32753.5,33695.7,34762.6,35185.2,35321.1,35359.3,36078.1,36383,36988.5,37628.6,37492.1,36202.7,36732.5,37312.4,37136.1,37071.9
French Guia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
French Polynesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
