"","university","count","earliest_year","latest_year","lon","lat"
"95","Texas Christian University.",219,1967,2013,-97.3637239,32.7078459
"96","Ohio University.",218,1976,2013,-82.1014242,39.3243417
"97","The University of British Columbia (Canada).",217,1968,2007,-123.2539612,49.2669848
"98","Marquette University.",212,1973,2013,-87.9304238,43.0388508
"99","The University of Tennessee.",212,1965,2007,-83.9294564,35.9544013
"100","Universite Laval (Canada).",203,1970,2006,-71.2748145,46.7819799
"101","Boston University Graduate School.",198,1948,1983,-71.0888609,42.3382852
"102","The University of Alabama.",196,1960,2013,-87.5474349,33.2144445
"103","Graduate Theological Union.",195,1973,2012,-122.2618454,37.8755361
"104","The College of William and Mary.",193,1972,2013,-76.7169032,37.2723284
"105","Bryn Mawr College.",193,1937,2013,-75.3143902,40.0266576
"106","University of California, Santa Cruz.",192,1974,2013,-122.0608718,36.9913856
"107","University of North Texas.",190,1970,2012,-97.1525862,33.207488
"108","The Southern Baptist Theological Seminary.",190,1975,2013,-85.6861488,38.2475149
"109","West Virginia University.",182,1968,2012,-79.9559358,39.6361396
"110","University of Houston.",181,1970,2012,-95.3422334,29.7199489
"111","Bowling Green State University.",180,1977,2012,-83.6300826,41.3797788
"112","University of Denver.",179,1964,2013,-104.9618965,39.6766174
"113","Universite de Montreal (Canada).",177,1991,2013,-73.6137592,45.5056156
"114","Texas Tech University.",169,1960,2004,-101.8782822,33.5842591
"115","Auburn University.",168,1971,2012,-85.4951663,32.5933574
"116","State University of New York at Albany.",166,1971,2013,-73.822852,42.686744
"117","Northern Illinois University.",165,1966,2013,-88.773718,41.934299
"118","University of Ottawa (Canada).",163,1959,2013,-75.6798172,45.4209014
"120","University of Alberta (Canada).",156,1984,2013,-113.5259951,53.5234543
"121","Southern Illinois University at Carbondale.",150,1971,2012,-89.2521413,37.7770916
"122","Southwestern Baptist Theological Seminary.",149,1985,2013,-97.3483457,32.6819836
"123","Wayne State University.",144,1961,2013,-83.0665462,42.3591388
"124","The University of Mississippi.",140,1963,2013,-89.5384565,34.3647402
"125","The University of Western Ontario (Canada).",138,1970,2012,-81.2737336,43.0095971
"126","Miami University.",138,1969,2012,-84.7308768,39.5105334
"127","McMaster University (Canada).",136,1973,2011,-79.9192254,43.260879
"128","Carleton University (Canada).",134,1973,2013,-75.6960202,45.3875812
"129","New School for Social Research.",134,1970,2002,-73.994412,40.735589
"130","Princeton Theological Seminary.",134,1975,2013,-74.6639375,40.3448966
"131","Oklahoma State University.",134,1971,2011,-97.0737222,36.1270236
"132","The University of Maine.",132,1966,2012,-68.6687076,44.897732
"133","University of Arkansas.",131,1954,2013,-94.1736551,36.0678324
"134","University of Miami.",130,1970,2013,-80.2781784,25.7179436
"135","George Mason University.",128,1989,2013,-77.308037,38.8321941
"136","Georgia State University.",125,1975,2013,-84.3852819,33.753068
"137","Carnegie Mellon University.",124,1982,2012,-79.9425528,40.4424925
"138","St. John's University (New York).",123,1965,1986,-74.0126713,40.7154084
"139","Fuller Theological Seminary.",123,1982,2013,-118.1394015,34.1492978
"140","Mississippi State University.",122,1965,2013,-88.7901613,33.4548567
"141","University of New Hampshire.",120,1974,2012,-70.9370252,43.138948
"142","Baylor University.",120,1970,2012,-97.1184377,31.5482204
"143","Kansas State University.",103,1967,2013,-96.5847249,39.1974437
"144","Clark University.",103,1953,2013,-71.8222312,42.250386
"145","University of Calgary (Canada).",101,1973,2012,-114.1358007,51.0781599
"146","Iowa State University.",101,1956,2013,-93.6464654,42.0266187
"147","University of Manitoba (Canada).",97,1974,2012,-97.1366259,49.8075008
"148","The University of Toledo.",95,1972,2012,-83.6126979,41.6621416
"149","The University of Southern Mississippi.",93,1969,2013,-89.3357393,31.3310077
"150","Ball State University.",91,1965,2002,-85.4088412,40.1972366
"151","Concordia University (Canada).",89,1975,2010,-73.6400637,45.4585652
"152","Union Institute and University.",88,2002,2013,-72.5562286,42.8502571
"153","New School University.",87,1990,2013,-73.994412,40.735589
"154","Lehigh University.",86,1955,2012,-75.3782832,40.6069087
"155","The University of Wisconsin - Milwaukee.",86,1973,2013,-87.8819686,43.078263
"156","Simon Fraser University (Canada).",85,1972,2009,-122.9198833,49.2780937
"157","The University of Texas at Arlington.",85,1984,2012,-97.1183636,32.7284834
"158","Tufts University.",84,1969,2013,-71.1190229,42.4074843
"159","Brigham Young University.",76,1963,2006,-111.6493177,40.2518429
"160","The University of Memphis.",76,1994,2013,-89.9371249,35.1189522
"161","Northern Arizona University.",72,1980,2012,-111.6514545,35.1893974
"162","The University of Texas at Dallas.",71,1984,2013,-96.7459305,32.9843468
"163","Dalhousie University (Canada).",70,1973,2008,-63.5895754,44.6369358
"164","Union Theological Seminary.",63,1976,2013,-73.9618097,40.8114022
"165","University of Victoria (Canada).",60,1991,2012,-123.3113384,48.4649122
"166","Southern Methodist University.",60,1975,2013,-96.7845175,32.8412178
"167","Virginia Polytechnic Institute and State University.",59,1980,2007,-80.4234167,37.2283843
